regulation	dataset	method	roc_auc
expression	OMIM	coloc	0.553191885964912
expression	OMIM	enloc	0.668736476608187
expression	OMIM	PrediXcan-mashr	0.671754385964912
expression	OMIM	smr	0.590646564327485
expression	EWAS	coloc	0.66074899463807
expression	EWAS	enloc	0.755148290884719
expression	EWAS	PrediXcan-mashr	0.742593833780161
expression	EWAS	smr	0.629121983914209
splicing	OMIM	enloc	0.64975182748538
splicing	OMIM	PrediXcan-mashr	0.63238048245614
splicing	EWAS	enloc	0.714259383378016
splicing	EWAS	PrediXcan-mashr	0.685996146112601
